animal_type,breed,age,gender,disease,core_symptom,symptom_1,symptom_2,symptom_3,medicine,recovery_days,care_1,care_2
Cat,Persian,7,Female,Viral Fever,fever,fever,shivering,dehydration,Supportive IV fluids,5,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Female,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,5,Keep shelter clean,Regular vaccination
Cat,Maine Coon,1,Female,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,10,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Female,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,7,Keep shelter clean,Regular vaccination
Cat,Siamese,1,Male,Viral Fever,dehydration,fever,shivering,dehydration,Supportive IV fluids,13,Keep shelter clean,Regular vaccination
Cat,Persian,9,Female,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,5,Keep shelter clean,Regular vaccination
Cat,Maine Coon,9,Female,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,9,Keep shelter clean,Regular vaccination
Cat,Siamese,5,Male,Viral Fever,shivering,fever,shivering,dehydration,Supportive IV fluids,11,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Male,Fever Infection,loss appetite,high fever,weakness,loss appetite,Antipyretic injection,13,Keep shelter clean,Regular vaccination
Cat,Siamese,8,Male,Eye Infection,red eyes,watery eyes,red eyes,swelling,Eye drops,12,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,6,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Male,Digestive Disorder,vomiting,diarrhea,vomiting,bloating,Digestive tonic,9,Keep shelter clean,Regular vaccination
Cat,Siamese,1,Female,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,7,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Male,Nutritional Deficiency,fatigue,weak bones,poor growth,fatigue,Vitamin supplement,12,Keep shelter clean,Regular vaccination
Cat,Siamese,6,Female,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Female,Parasitic Worms,rough coat,weight loss,rough coat,fatigue,Deworming medicine,10,Keep shelter clean,Regular vaccination
Cat,Persian,7,Male,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,10,Keep shelter clean,Regular vaccination
Cat,Persian,8,Female,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,3,Male,Fever Infection,loss appetite,high fever,weakness,loss appetite,Antipyretic injection,7,Keep shelter clean,Regular vaccination
Cat,Siamese,5,Female,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,11,Keep shelter clean,Regular vaccination
Cat,Persian,4,Male,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,5,Keep shelter clean,Regular vaccination
Cat,Persian,5,Male,Parasitic Worms,rough coat,weight loss,rough coat,fatigue,Deworming medicine,9,Keep shelter clean,Regular vaccination
Cat,Persian,9,Male,Eye Infection,swelling,watery eyes,red eyes,swelling,Eye drops,10,Keep shelter clean,Regular vaccination
Cat,Persian,2,Male,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,13,Keep shelter clean,Regular vaccination
Cat,Siamese,4,Male,Respiratory Infection,cough,cough,sneeze,fever,Antibiotic syrup,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,4,Female,Digestive Disorder,bloating,diarrhea,vomiting,bloating,Digestive tonic,14,Keep shelter clean,Regular vaccination
Cat,Persian,4,Male,Viral Fever,fever,fever,shivering,dehydration,Supportive IV fluids,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,4,Female,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,13,Keep shelter clean,Regular vaccination
Cat,Persian,9,Female,Bacterial Infection,pus discharge,pus discharge,fever,lethargy,Broad spectrum antibiotic,11,Keep shelter clean,Regular vaccination
Cat,Maine Coon,10,Male,Fever Infection,weakness,high fever,weakness,loss appetite,Antipyretic injection,11,Keep shelter clean,Regular vaccination
Cat,Siamese,9,Female,Bacterial Infection,fever,pus discharge,fever,lethargy,Broad spectrum antibiotic,10,Keep shelter clean,Regular vaccination
Cat,Maine Coon,4,Female,Respiratory Infection,fever,cough,sneeze,fever,Antibiotic syrup,8,Keep shelter clean,Regular vaccination
Cat,Persian,2,Male,Eye Infection,watery eyes,watery eyes,red eyes,swelling,Eye drops,8,Keep shelter clean,Regular vaccination
Cat,Maine Coon,8,Female,Respiratory Infection,sneeze,cough,sneeze,fever,Antibiotic syrup,10,Keep shelter clean,Regular vaccination
Cat,Persian,5,Female,Fever Infection,high fever,high fever,weakness,loss appetite,Antipyretic injection,9,Keep shelter clean,Regular vaccination
Cat,Maine Coon,7,Female,Foot Rot,pain walking,limping,hoof swelling,pain walking,Hoof antibiotic spray,13,Keep shelter clean,Regular vaccination
